size	colour	x	y	clickSelects	key	showSelectedlegendcolour	PANEL	fill
2.80498447189992	#C49A00	0.0900731702021408	0.802608022364825	Slovenia	Slovenia	Europe & Central Asia (all income levels)	3	#C49A00
3.13841995766062	#C49A00	0.0944156154330504	0.765820770151006	Slovak Republic	Slovak Republic	Europe & Central Asia (all income levels)	3	#C49A00
3.13841995766062	#FB61D7	0.574907180233189	0.246654972779524	Sierra Leone	Sierra Leone	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.60996894379985	#FB61D7	0.555366176694096	0.49607634312519	Senegal	Senegal	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#FB61D7	0.659693423366698	0.38009692984918	Somalia	Somalia	Sub-Saharan Africa (all income levels)	3	#FB61D7
2	#53B400	0.249223787914975	0.686107583026985	Suriname	Suriname	Latin America & Caribbean (all income levels)	3	#53B400
2	#FB61D7	0.450170440975313	0.599202260075005	Sao Tome and Principe	Sao Tome and Principe	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.13841995766062	#53B400	0.271804503115704	0.713629236106248	El Salvador	El Salvador	Latin America & Caribbean (all income levels)	3	#53B400
3.9718012070186	#00C094	0.347688733525848	0.780898223088311	Syrian Arab Republic	Syrian Arab Republic	Middle East & North Africa (all income levels)	3	#00C094
2	#FB61D7	0.411631239550991	0.385931205634165	Swaziland	Swaziland	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.39427400463467	#FB61D7	0.670332414182426	0.383107175972999	Chad	Chad	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.13841995766062	#FB61D7	0.507165034631001	0.481589462398014	Togo	Togo	Sub-Saharan Africa (all income levels)	3	#FB61D7
5.8605699061149	#F8766D	0.138925679049873	0.757469151817836	Thailand	Thailand	East Asia & Pacific (all income levels)	3	#F8766D
3.13841995766062	#C49A00	0.390787502442625	0.62097818519744	Tajikistan	Tajikistan	Europe & Central Asia (all income levels)	3	#C49A00
2	#F8766D	0.725372907484204	0.503103544371943	Timor-Leste	Timor-Leste	East Asia & Pacific (all income levels)	3	#F8766D
3.13841995766062	#C49A00	0.261274073430749	0.623162238280838	Turkmenistan	Turkmenistan	Europe & Central Asia (all income levels)	3	#C49A00
3.60996894379985	#00C094	0.179093297435786	0.758790148601878	Tunisia	Tunisia	Middle East & North Africa (all income levels)	3	#00C094
2	#F8766D	0.414670951212628	0.730134855302018	Tonga	Tonga	East Asia & Pacific (all income levels)	3	#F8766D
5.8605699061149	#C49A00	0.211987320059926	0.709660165216567	Turkey	Turkey	Europe & Central Asia (all income levels)	3	#C49A00
2	#53B400	0.131109277634236	0.693279957107889	Trinidad and Tobago	Trinidad and Tobago	Latin America & Caribbean (all income levels)	3	#53B400
4.90241278938748	#FB61D7	0.570781857263825	0.412467431595757	Tanzania	Tanzania	Sub-Saharan Africa (all income levels)	3	#FB61D7
5.41525987298185	#C49A00	0.0727033892785027	0.68498762401589	Ukraine	Ukraine	Europe & Central Asia (all income levels)	3	#C49A00
4.41495341569977	#FB61D7	0.698558308183338	0.345754053732875	Uganda	Uganda	Sub-Saharan Africa (all income levels)	3	#FB61D7
10.2486362509205	#00B6EB	0.17648783029724	0.821685708946786	United States	United States	North America	3	#00B6EB
2.80498447189992	#53B400	0.191035021820787	0.794422098680057	Uruguay	Uruguay	Latin America & Caribbean (all income levels)	3	#53B400
4.41495341569977	#C49A00	0.233373862822155	0.67076904700837	Uzbekistan	Uzbekistan	Europe & Central Asia (all income levels)	3	#C49A00
2	#53B400	0.211553075536835	0.724151986380508	St. Vincent and the Grenadines	St. Vincent and the Grenadines	Latin America & Caribbean (all income levels)	3	#53B400
4.41495341569977	#53B400	0.26051414551534	0.769222070846396	Venezuela, RB	Venezuela, RB	Latin America & Caribbean (all income levels)	3	#53B400
2	#53B400	0.176411837505699	0.836317762510773	Virgin Islands (U.S.)	Virgin Islands (U.S.)	Latin America & Caribbean (all income levels)	3	#53B400
6.33497404836523	#F8766D	0.16856286775083	0.748592327053267	Vietnam	Vietnam	East Asia & Pacific (all income levels)	3	#F8766D
2	#F8766D	0.436383177367175	0.68018209917866	Vanuatu	Vanuatu	East Asia & Pacific (all income levels)	3	#F8766D
2	#F8766D	0.448759146275268	0.710297861592753	Samoa	Samoa	East Asia & Pacific (all income levels)	3	#F8766D
4.12978872191586	#00C094	0.657739323012788	0.557632285039792	Yemen, Rep.	Yemen, Rep.	Middle East & North Africa (all income levels)	3	#00C094
5.2199378875997	#FB61D7	0.264422346223158	0.481072616705752	South Africa	South Africa	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.60996894379985	#FB61D7	0.619200121588466	0.280907400899684	Zambia	Zambia	Sub-Saharan Africa (all income levels)	3	#FB61D7
3.8	#FB61D7	0.372549232472805	0.322791663719823	Zimbabwe	Zimbabwe	Sub-Saharan Africa (all income levels)	3	#FB61D7
