size	colour	x	y	showSelected	clickSelects	showSelectedlegendcolour	PANEL	fill
3.9718012070186	#A58AFF	0.640186915887851	0.301353588465342	Afghanistan	Afghanistan	South Asia	4	#A58AFF
3.9718012070186	#A58AFF	0.657179269328802	0.306036742484256	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.12978872191586	#A58AFF	0.674171622769754	0.310683793311431	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.12978872191586	#A58AFF	0.691163976210705	0.315294360913271	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.12978872191586	#A58AFF	0.708156329651657	0.319859704517038	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.12978872191586	#A58AFF	0.725148683092609	0.324402246104969	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.12978872191586	#A58AFF	0.74214103653356	0.328897663526842	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.27683991532123	#A58AFF	0.759133389974512	0.333307193355736	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.27683991532123	#A58AFF	0.776125743415463	0.337582951358397	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.27683991532123	#A58AFF	0.793118096856415	0.341725697602022	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.41495341569977	#A58AFF	0.810110450297367	0.345765834774388	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.41495341569977	#A58AFF	0.827102803738318	0.349797611207616	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.41495341569977	#A58AFF	0.84409515717927	0.353930096544114	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.54558441227157	#A58AFF	0.861087510620221	0.358334685936245	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.54558441227157	#A58AFF	0.878079864061173	0.36310600774972	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.54558441227157	#A58AFF	0.895072217502125	0.368298406788951	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.54558441227157	#A58AFF	0.912064570943076	0.373912263087531	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.66983145535444	#A58AFF	0.929056924384028	0.379885251135511	Afghanistan	Afghanistan	South Asia	4	#A58AFF
4.66983145535444	#A58AFF	0.946049277824979	0.386092719912997	Afghanistan	Afghanistan	South Asia	4	#A58AFF
2	#53B400	0.453271028037383	0.753306263793557	Antigua and Barbuda	Antigua and Barbuda	Latin America & Caribbean (all income levels)	4	#53B400
2	#53B400	0.538232795242141	0.765151911019845	Antigua and Barbuda	Antigua and Barbuda	Latin America & Caribbean (all income levels)	4	#53B400
2	#53B400	0.623194562446899	0.784442416416265	Antigua and Barbuda	Antigua and Barbuda	Latin America & Caribbean (all income levels)	4	#53B400
2	#53B400	0.708156329651657	0.792005085001545	Antigua and Barbuda	Antigua and Barbuda	Latin America & Caribbean (all income levels)	4	#53B400
2	#53B400	0.793118096856415	0.800555840939674	Antigua and Barbuda	Antigua and Barbuda	Latin America & Caribbean (all income levels)	4	#53B400
2.80498447189992	#C49A00	0.079439252336448	0.597590917622663	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.0964316057773996	0.613469861416569	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.113423959218351	0.627319805834754	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.130416312659303	0.638612504177044	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.147408666100254	0.647191382601371	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.164401019541206	0.653295482240404	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.181393372982158	0.657512335035491	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.198385726423109	0.660811406693221	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.215378079864061	0.66399988857415	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.232370433305012	0.667459334409919	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.249362786745964	0.671369880125623	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.266355140186916	0.675671480412898	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.283347493627867	0.680017924664649	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.300339847068819	0.684210075275916	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.31733220050977	0.688241851709142	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.334324553950722	0.692192680986156	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.351316907391674	0.696117287944959	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.368309260832625	0.700116001455224	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.385301614273577	0.704249626892516	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.402293967714528	0.708572509061236	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.41928632115548	0.713199798141355	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.436278674596431	0.718285787773353	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.453271028037383	0.723751430969006	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.470263381478335	0.729425712609549	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.487255734919286	0.73505172998324	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.504248088360238	0.740054872291041	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.521240441801189	0.743790982585608	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.538232795242141	0.745934372074098	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.555225148683093	0.746470979513415	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.572217502124044	0.745611723550032	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.589209855564996	0.743916773706297	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.606202209005947	0.742141256739944	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.623194562446899	0.741108705456215	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.640186915887851	0.741448075458559	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.657179269328802	0.743485055539821	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.674171622769754	0.747420303439346	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.691163976210705	0.753197574184744	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.708156329651657	0.760287100941446	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.725148683092609	0.76810477207048	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.74214103653356	0.776269793907401	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.759133389974512	0.784323845933924	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.776125743415463	0.791879673914453	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.793118096856415	0.798697476649121	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.810110450297367	0.804630941202988	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.827102803738318	0.809571758000838	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.84409515717927	0.813511946337128	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.861087510620221	0.816591358575647	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.878079864061173	0.819143284181183	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.895072217502125	0.821439067142171	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.912064570943076	0.823625780460748	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.929056924384028	0.82580489310738	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.946049277824979	0.828006807769848	Albania	Albania	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.079439252336448	0.65367741600564	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.0964316057773996	0.660245156633318	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.113423959218351	0.666883203476486	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.130416312659303	0.673560393780173	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.147408666100254	0.680230363445511	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.164401019541206	0.686877911128612	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.181393372982158	0.693494676090336	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.198385726423109	0.699995910838494	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.215378079864061	0.706225041531023	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.232370433305012	0.712025874359449	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.249362786745964	0.717101223050726	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.266355140186916	0.721130719282369	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.283347493627867	0.724004913378373	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.300339847068819	0.725746987388167	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.31733220050977	0.726442828904733	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.334324553950722	0.726497933776334	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.351316907391674	0.726434848199191	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.368309260832625	0.726636646039329	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.385301614273577	0.727253440567667	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.402293967714528	0.728177302242582	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.41928632115548	0.728875423960731	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.436278674596431	0.72854251452954	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.453271028037383	0.726618024393064	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.470263381478335	0.722827189260494	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.487255734919286	0.717328863175478	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.504248088360238	0.710556664472481	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.521240441801189	0.703183632652228	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.538232795242141	0.696105126869846	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.555225148683093	0.690136319191435	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.572217502124044	0.685754151781543	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.589209855564996	0.683333337767059	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.606202209005947	0.683003468604646	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.623194562446899	0.684444175971822	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.640186915887851	0.687314569731852	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.657179269328802	0.691461876378643	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.674171622769754	0.696783486840939	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.691163976210705	0.70315589019963	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.708156329651657	0.710357526867521	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.725148683092609	0.718053207211838	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.74214103653356	0.725952205530683	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.759133389974512	0.733695390074656	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.776125743415463	0.740996975578623	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.793118096856415	0.747721290048369	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.810110450297367	0.753779025588537	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.827102803738318	0.759045911212828	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.84409515717927	0.763475582822376	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.861087510620221	0.767114024482448	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.878079864061173	0.770130731177421	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.895072217502125	0.772750302763266	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.912064570943076	0.775081048815201	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.929056924384028	0.777231658942041	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
2.80498447189992	#C49A00	0.946049277824979	0.779295621408707	Armenia	Armenia	Europe & Central Asia (all income levels)	4	#C49A00
3.13841995766062	#FB61D7	0.079439252336448	0.141539199914507	Angola	Angola	Sub-Saharan Africa (all income levels)	4	#FB61D7
3.13841995766062	#FB61D7	0.0964316057773996	0.147785432118911	Angola	Angola	Sub-Saharan Africa (all income levels)	4	#FB61D7
3.13841995766062	#FB61D7	0.113423959218351	0.154031664323316	Angola	Angola	Sub-Saharan Africa (all income levels)	4	#FB61D7
3.13841995766062	#FB61D7	0.130416312659303	0.160277516494123	Angola	Angola	Sub-Saharan Africa (all income levels)	4	#FB61D7
3.13841995766062	#FB61D7	0.147408666100254	0.166515767992984	Angola	Angola	Sub-Saharan Africa (all income levels)	4	#FB61D7
3.13841995766062	#FB61D7	0.164401019541206	0.172761620163792	Angola	Angola	Sub-Saharan Africa (all income levels)	4	#FB61D7
3.13841995766062	#FB61D7	0.181393372982158	0.179030654384032	Angola	Angola	Sub-Saharan Africa (all income levels)	4	#FB61D7
