fill	x	y	tooltip	clickSelects	PANEL	xmin	xmax	ymin	ymax	colour	size
#F3EAEA	0.5	0.670454545454545	( 0.96 ,  1.19 )	px=0; pz=3.2	15	0.44949494949495	0.55050505050505	0.613636363636364	0.727272727272727	#F3EAEA	0
#FAF7F7	0.5	0.784090909090909	( 0.35 ,  14.16 )	px=0; pz=3.7	15	0.44949494949495	0.55050505050505	0.727272727272727	0.840909090909091	#FAF7F7	0
#FFFFFF	0.5	0.897727272727273	( 0 ,  Inf )	px=0; pz=4.2	15	0.44949494949495	0.55050505050505	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.601010101010101	0.102272727272727	( 0 ,  Inf )	px=0.5; pz=0.7	15	0.55050505050505	0.651515151515151	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FDFCFC	0.601010101010101	0.215909090909091	( 0 ,  Inf )	px=0.5; pz=1.2	15	0.55050505050505	0.651515151515151	0.159090909090909	0.272727272727273	#FDFCFC	0
#AE7070	0.601010101010101	0.329545454545455	( 2.15 ,  6.12 )	px=0.5; pz=1.7	15	0.55050505050505	0.651515151515151	0.272727272727273	0.386363636363636	#AE7070	0
#E6D4D4	0.601010101010101	0.443181818181818	( 1.05 ,  1.25 )	px=0.5; pz=2.2	15	0.55050505050505	0.651515151515151	0.386363636363636	0.5	#E6D4D4	0
#F3EAEA	0.601010101010101	0.556818181818182	( 1 ,  1.13 )	px=0.5; pz=2.7	15	0.55050505050505	0.651515151515151	0.5	0.613636363636364	#F3EAEA	0
#E7D4D4	0.601010101010101	0.670454545454545	( 0.9 ,  1.59 )	px=0.5; pz=3.2	15	0.55050505050505	0.651515151515151	0.613636363636364	0.727272727272727	#E7D4D4	0
#FDFBFB	0.601010101010101	0.784090909090909	( 0.03 ,  Inf )	px=0.5; pz=3.7	15	0.55050505050505	0.651515151515151	0.727272727272727	0.840909090909091	#FDFBFB	0
#FFFFFF	0.601010101010101	0.897727272727273	( 0 ,  Inf )	px=0.5; pz=4.2	15	0.55050505050505	0.651515151515151	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.702020202020202	0.102272727272727	( 0 ,  Inf )	px=1; pz=0.7	15	0.651515151515151	0.752525252525252	0.0454545454545455	0.159090909090909	#FFFFFF	0
